,economy,wgt,female,age,educ,inc_q,emp_in,urbanicity_f2f,account,account_fin,account_mob,fin1_1a,fin1_1b,fin2,fin4,fin4a,fin5,fin6,fin7,fin8,fin8a,fin8b,fin9,fin9a,fin10,fin10_1a,fin10_1b,fin10_1c,fin10_1d,fin10_1e,fin10a,fin10b,fin11_1,fin11a,fin11b,fin11c,fin11d,fin11e,fin11f,fin11g,fin11h,fin13_1a,fin13_1b,fin13_1c,fin13_1d,fin13_1e,fin13_1f,fin13a,fin13b,fin13c,fin13d,fin14_1,fin14_2,fin14_2_China,fin14a,fin14a1,fin14b,fin14c,fin14c_2,fin14c_2_China,fin16,fin17a,fin17a1,fin17b,fin20,fin22a,fin22b,fin22c,fin24,fin24a,fin24b,fin26,fin27_1,fin27c1,fin27c2,fin28,fin29_1,fin29c1,fin29c2,fin30,fin31a,fin31b,fin31b1,fin31b1_China,fin31c,fin32,fin33,fin34a,fin34b,fin34d,fin34e,fin35,fin37,fin38,fin39a,fin39b,fin39d,fin39e,fin42,fin42a,fin43a,fin43b,fin43d,fin43e,fin44a,fin44b,fin44c,fin44d,fin45,fin45_1,fin45_1_China,saved,borrowed,receive_wages,receive_transfers,receive_pension,receive_agriculture,pay_utilities,remittances,mobileowner,internetaccess,anydigpayment,merchantpay_dig,year
100814,Pakistan,0.689615026720467,2,24.0,2,5,1.0,2.0,1,1,0.0,1.0,1.0,1,1.0,2.0,2.0,1.0,2.0,,,,1.0,2.0,1.0,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,2,2,2,,6,1.0,1.0,2.0,,,,2.0,,,,1,2.0,2.0,,,1.0,1,1.0,1.0,2.0,,,2.0,2,2,,,,,2.0,,,,,,1,1,1,1,3.0,2.0,,0,0,1,4,4,4.0,2,5.0,1,1,1,0.0,2021
100815,Pakistan,1.53190277613184,1,15.0,1,1,2.0,1.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,2,2,2,,2,1.0,1.0,2.0,,,,2.0,,,,2,,,,,,2,,,,,,,2,2,,,,,2.0,,,,,,1,1,1,1,2.0,1.0,,0,0,4,4,4,4.0,4,5.0,2,2,0,0.0,2021
100816,Pakistan,0.579366608879666,2,45.0,3,4,1.0,2.0,1,1,1.0,2.0,2.0,1,1.0,2.0,2.0,2.0,2.0,,,,2.0,,1.0,,,,,,2.0,2.0,,,,,,,,,,,,,,,,4.0,2.0,2.0,1.0,2,,,1,2,2,,,,2,2,2.0,2.0,2,2,2,,3,3.0,1.0,4.0,,,,4.0,,,,2,,,,,,4,,,,,,,2,2,,,,,2.0,,,,,,2,2,1,2,1.0,2.0,,0,0,5,4,4,4.0,4,6.0,1,1,1,0.0,2021
100817,Pakistan,0.251685658595747,1,50.0,2,5,2.0,2.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,2,2,2,,1,2.0,1.0,2.0,,,,2.0,,,,2,,,,,,2,,,,,,,2,2,,,,,2.0,,,,,,2,1,2,2,2.0,2.0,,0,0,4,4,4,4.0,4,5.0,1,2,0,0.0,2021
100818,Pakistan,0.495177953078301,1,17.0,1,1,2.0,2.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,3,3,2,,7,,,2.0,,,,2.0,,,,3,,,,,,3,,,,,,,3,2,,,,,2.0,,,,,,1,1,1,5,3.0,1.0,,0,0,5,5,4,4.0,5,5.0,2,2,0,0.0,2021
100819,Pakistan,1.1720392594058,2,27.0,1,2,1.0,2.0,1,1,0.0,1.0,2.0,1,2.0,,2.0,2.0,2.0,,,,2.0,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,2,2,1,,3,1.0,1.0,2.0,,,,2.0,,,,1,2.0,2.0,,,1.0,1,2.0,2.0,2.0,2.0,2.0,,2,2,,,,,2.0,,,,,,2,1,1,4,3.0,1.0,,0,1,3,4,4,4.0,2,5.0,1,2,0,0.0,2021
100820,Pakistan,0.690799867104958,1,16.0,2,4,2.0,2.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,,,,,,,,,,,2,,,2,3,2,,,,2,3,,2.0,2,2,2,,7,,,2.0,,,,3.0,,,,3,,,,,,3,,,,,,,3,3,,,,,2.0,,,,,,3,1,1,3,3.0,2.0,,0,0,5,5,5,4.0,5,6.0,2,2,0,0.0,2021
100821,Pakistan,1.11910565094938,2,26.0,2,5,2.0,1.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,2,2,2,,1,2.0,2.0,2.0,,,,2.0,,,,1,2.0,2.0,,,1.0,2,,,,,,,2,2,,,,,2.0,,,,,,4,4,2,4,,1.0,,0,0,4,4,4,4.0,2,5.0,1,2,0,0.0,2021
100822,Pakistan,0.525699560504229,2,42.0,1,4,1.0,2.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,2,,,1,2,2,,,,2,2,2.0,2.0,2,2,1,,7,,,2.0,,,,2.0,,,,1,2.0,2.0,,,1.0,2,,,,,,,2,2,,,,,1.0,1.0,2.0,2.0,1.0,,2,2,3,3,2.0,2.0,,0,1,4,4,4,2.0,2,5.0,1,2,0,0.0,2021
100823,Pakistan,1.10231933877031,2,28.0,2,2,1.0,2.0,1,1,1.0,1.0,2.0,2,,,2.0,2.0,2.0,,,,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,2,,,2,2,2,,,,2,2,2.0,2.0,2,2,2,,3,1.0,1.0,2.0,,,,2.0,,,,1,2.0,2.0,,,1.0,2,,,,,,,2,2,,,,,2.0,,,,,,2,1,1,1,3.0,1.0,,0,0,4,4,4,4.0,2,5.0,1,2,1,0.0,2021
100824,Pakistan,0.305835075245669,1,45.0,1,1,2.0,1.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,2,,,1,2,2,,,,2,2,,2.0,2,2,2,,5,1.0,1.0,2.0,,,,2.0,,,,1,2.0,2.0,,,2.0,2,,,,,,,2,2,,,,,2.0,,,,,,1,1,1,1,1.0,1.0,,0,0,4,4,4,4.0,3,5.0,2,2,0,0.0,2021
100825,Pakistan,0.251685658595747,1,22.0,1,5,2.0,2.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,2,2,2,,5,2.0,2.0,2.0,,,,2.0,,,,3,,,,,,2,,,,,,,2,2,,,,,2.0,,,,,,2,2,1,2,1.0,1.0,,0,1,4,4,4,4.0,5,5.0,2,2,0,0.0,2021
100826,Pakistan,0.321766530512714,2,45.0,2,4,2.0,1.0,1,1,0.0,1.0,1.0,1,2.0,,2.0,1.0,2.0,,,,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,2,,,1,2,2,,,,2,2,,2.0,2,1,1,,3,1.0,1.0,2.0,,,,2.0,,,,1,2.0,1.0,3.0,,,2,,,,,,,2,1,1.0,2.0,,,2.0,,,,,,1,1,1,1,3.0,2.0,,0,1,4,4,1,4.0,1,5.0,1,1,1,0.0,2021
100827,Pakistan,0.432718123162637,2,50.0,1,2,1.0,1.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,3.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,,,,,,,,,,,2,,,2,2,2,,,,1,2,,2.0,2,2,2,,7,,,2.0,,,,2.0,,,,2,,,,,,1,2.0,2.0,2.0,1.0,,,2,2,,,,,2.0,,,,,,1,1,2,5,1.0,2.0,,1,0,2,4,4,4.0,4,5.0,1,2,0,0.0,2021
100828,Pakistan,0.611670150491339,1,50.0,1,4,2.0,1.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,1,2,1,,3,1.0,1.0,2.0,,,,2.0,,,,2,,,,,,3,,,,,,,2,2,,,,,1.0,1.0,2.0,2.0,1.0,,1,1,1,3,3.0,1.0,,0,1,5,4,4,2.0,4,5.0,1,3,0,0.0,2021
100829,Pakistan,1.3583435120408,1,20.0,1,2,2.0,2.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,1,2,1,,2,1.0,1.0,2.0,,,,2.0,,,,2,,,,,,2,,,,,,,2,2,,,,,2.0,,,,,,2,2,2,2,3.0,2.0,,0,1,4,4,4,4.0,4,5.0,2,2,0,0.0,2021
100830,Pakistan,0.584547795986505,2,40.0,2,5,1.0,1.0,1,1,0.0,2.0,2.0,1,2.0,,2.0,2.0,2.0,,,,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,1.0,2,2,2,2.0,1,3.0,3.0,2.0,,,,2.0,,,,2,,,,,,2,,,,,,,2,2,,,,,2.0,,,,,,3,1,2,2,2.0,2.0,,1,0,4,4,4,4.0,4,5.0,1,1,0,0.0,2021
100831,Pakistan,0.307636616457269,2,37.0,1,3,1.0,2.0,1,1,0.0,1.0,2.0,1,2.0,,1.0,2.0,2.0,,,,2.0,,1.0,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,2,2,2,,3,2.0,2.0,2.0,,,,2.0,,,,2,,,,,,1,2.0,2.0,2.0,1.0,,,1,2,1.0,2.0,,,2.0,,,,,,2,1,2,2,2.0,2.0,,0,0,2,1,4,4.0,4,5.0,1,2,1,0.0,2021
100832,Pakistan,2.55984013191962,1,32.0,1,2,2.0,2.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,2,2,2,,2,2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,,2,,,,,,2,,,,,,,2,2,,,,,2.0,,,,,,2,2,2,2,2.0,2.0,,0,1,4,4,4,4.0,4,4.0,2,2,0,0.0,2021
100833,Pakistan,0.846357125809606,1,25.0,1,4,2.0,1.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,2.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,2,2,2,,2,1.0,1.0,2.0,,,,2.0,,,,2,,,,,,2,,,,,,,2,2,,,,,2.0,,,,,,3,1,1,3,3.0,1.0,,0,0,4,4,4,4.0,4,5.0,2,2,0,0.0,2021
100834,Pakistan,0.804732182370739,1,24.0,2,1,2.0,2.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,2,2,2,,1,2.0,1.0,2.0,,,,2.0,,,,1,2.0,2.0,,,1.0,2,,,,,,,2,2,,,,,2.0,,,,,,1,2,2,3,3.0,2.0,,1,0,4,4,4,4.0,2,5.0,1,1,0,0.0,2021
100835,Pakistan,1.11691711134441,2,18.0,2,5,2.0,2.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,2,2,2,,2,4.0,5.0,2.0,,,,2.0,,,,2,,,,,,2,,,,,,,2,2,,,,,2.0,,,,,,4,5,4,5,,2.0,,0,0,4,4,4,4.0,4,5.0,1,1,0,0.0,2021
